Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo,media_frp,Mes,DiaSemana,Estacao_Seca,lag_1,lag_2
2015-12-14,18,3.2777777777777777,0.011111111111111112,0.5888888888888889,28.25,12,0,0,15.0,10.0
2015-12-17,10,0.9,0.06999999999999999,0.2,29.6,12,3,0,7.0,18.0
2015-12-18,8,0.125,4.575,0.425,12.55,12,4,0,10.0,7.0
2015-12-20,2,1.0,1.1,0.2,14.850000000000001,12,6,0,8.0,10.0
2015-12-25,7,0.0,0.8571428571428571,0.3666666666666667,16.5,12,4,0,6.0,15.0
2015-12-27,17,2.2941176470588234,0.47058823529411764,0.37058823529411766,8.685714285714285,12,6,0,2.0,7.0
2015-12-29,6,1.3333333333333333,1.3333333333333333,0.26666666666666666,21.8,12,1,0,13.0,17.0
2016-01-03,7,0.42857142857142855,2.357142857142857,0.09999999999999999,6.766666666666667,1,6,0,1.0,5.0
2016-01-05,7,0.0,1.1714285714285713,0.2285714285714286,41.5,1,1,0,2.0,7.0
2016-01-07,16,0.0,0.65,0.1,36.75,1,3,0,1.0,7.0
2016-01-09,7,0.2857142857142857,12.87142857142857,0.0,8.15,1,5,0,16.0,1.0
2016-01-10,3,0.0,12.5,0.0,27.166666666666668,1,6,0,7.0,16.0
2016-01-21,2,1.0,0.5,0.0,8.4,1,3,0,1.0,1.0
2016-01-22,5,0.0,0.0,0.9199999999999999,12.5,1,4,0,2.0,1.0
2016-01-23,22,2.1818181818181817,0.36363636363636365,0.1,27.0,1,5,0,5.0,2.0
2016-01-24,33,2.878787878787879,0.045454545454545456,0.21515151515151518,14.9,1,6,0,22.0,5.0
2016-02-10,7,1.2857142857142858,0.3,0.1142857142857143,27.4,2,2,0,14.0,1.0
2016-02-13,40,0.525,0.12000000000000002,0.24117647058823527,12.525,2,5,0,2.0,1.0
2016-02-20,4,0.0,0.35000000000000003,0.0,5.433333333333334,2,5,0,1.0,1.0
2016-03-12,6,0.0,0.45,0.06666666666666667,13.399999999999999,3,5,0,2.0,2.0
2016-03-21,1,0.0,3.3,0.0,12.3,3,0,0,1.0,1.0
2016-03-25,12,0.0,1.9083333333333334,0.075,32.980000000000004,3,4,0,1.0,1.0
2016-04-08,17,0.17647058823529413,2.1176470588235294,0.29375,12.05,4,4,0,1.0,1.0
2016-04-19,4,1.0,6.825,0.125,16.35,4,1,0,1.0,1.0
2016-04-23,5,0.0,11.82,0.22000000000000003,11.5,4,5,0,1.0,4.0
2016-04-24,8,0.875,2.3375,0.125,19.3,4,6,0,5.0,1.0
2016-04-26,2,0.0,0.6,0.3,6.2,4,1,0,5.0,8.0
2016-05-01,7,4.0,0.0,0.45999999999999996,10.333333333333334,5,6,0,3.0,1.0
2016-05-09,5,4.8,1.5,1.0,18.7,5,0,0,1.0,6.0
2016-05-10,3,0.6666666666666666,0.6333333333333333,0.8333333333333334,6.7,5,1,0,5.0,1.0
2016-05-11,4,0.0,0.25,0.7666666666666666,12.9,5,2,0,3.0,5.0
2016-05-13,4,1.5,1.775,1.0,12.4,5,4,0,4.0,3.0
2016-05-21,25,4.4,0.06,0.5190476190476191,59.974999999999994,5,5,0,3.0,3.0
2016-05-22,21,5.476190476190476,0.06190476190476191,0.7,25.066666666666666,5,6,0,25.0,3.0
2016-05-24,8,2.0,0.0,0.5125,10.6,5,1,0,4.0,21.0
2016-05-26,11,6.363636363636363,0.06363636363636364,0.47000000000000003,17.4,5,3,0,8.0,8.0
2016-05-28,20,7.8,0.05499999999999999,0.7470588235294118,14.4,5,5,0,10.0,11.0
2016-06-04,14,3.5,4.6571428571428575,0.6333333333333333,7.8999999999999995,6,5,0,1.0,3.0
2016-06-08,1,0.0,20.1,0.0,3.6,6,2,0,5.0,7.0
2016-06-13,9,4.0,0.022222222222222223,0.5777777777777778,8.783333333333333,6,0,0,8.0,5.0
2016-06-15,11,6.636363636363637,0.0,0.6599999999999999,7.65,6,2,0,10.0,9.0
2016-06-18,10,4.5,0.03,0.6888888888888889,10.166666666666666,6,5,0,3.0,9.0
2016-06-22,16,7.0,0.0375,0.6285714285714287,8.125,6,2,0,12.0,7.0
2016-06-23,28,7.214285714285714,0.6928571428571428,0.7107142857142856,9.366666666666667,6,3,0,16.0,12.0
2016-06-24,25,12.0,0.0,0.8624999999999999,6.3,6,4,0,28.0,16.0
2016-06-25,55,7.163636363636364,0.17454545454545453,0.84,16.021428571428572,6,5,0,25.0,28.0
2016-06-26,55,9.945454545454545,0.04181818181818182,0.749056603773585,62.025,6,6,0,55.0,25.0
2016-06-27,63,15.238095238095237,0.04126984126984127,0.7967213114754098,24.035,6,0,0,55.0,55.0
2016-06-28,16,16.9375,0.3,0.84,20.766666666666666,6,1,0,63.0,55.0
2016-06-29,30,11.733333333333333,0.010000000000000002,0.8960000000000001,19.616666666666667,6,2,0,16.0,63.0
2016-07-01,33,14.06060606060606,0.0,0.678125,15.02,7,4,1,21.0,30.0
2016-07-02,53,13.283018867924529,0.0830188679245283,0.7879999999999999,15.76,7,5,1,33.0,21.0
2016-07-03,64,17.0625,0.0109375,0.6789473684210526,39.357142857142854,7,6,1,53.0,33.0
2016-07-04,19,19.736842105263158,0.07894736842105263,0.5411764705882353,16.545454545454547,7,0,1,64.0,53.0
2016-07-05,23,15.043478260869565,0.0,0.7636363636363637,34.650000000000006,7,1,1,19.0,64.0
2016-07-06,35,21.285714285714285,0.025714285714285714,0.6666666666666666,23.144444444444446,7,2,1,23.0,19.0
2016-07-07,37,22.56756756756757,0.04054054054054054,0.75,31.233333333333334,7,3,1,35.0,23.0
2016-07-08,54,18.055555555555557,0.0,0.8877551020408163,31.413333333333334,7,4,1,37.0,35.0
2016-07-09,62,22.870967741935484,0.03387096774193549,0.8549019607843138,30.80909090909091,7,5,1,54.0,37.0
2016-07-10,96,22.989583333333332,0.140625,0.7411111111111112,14.28125,7,6,1,62.0,54.0
2016-07-11,58,24.879310344827587,0.09482758620689655,0.789795918367347,27.530769230769234,7,0,1,96.0,62.0
2016-07-12,44,24.5,0.6386363636363637,0.7578947368421053,11.25,7,1,1,58.0,96.0
2016-07-13,70,14.985714285714286,0.0757142857142857,0.7575757575757576,12.20625,7,2,1,44.0,58.0
2016-07-14,30,5.1,0.016666666666666666,0.8296296296296296,38.457142857142856,7,3,1,70.0,44.0
2016-07-15,36,16.47222222222222,0.10277777777777779,0.784375,21.1375,7,4,1,30.0,70.0
2016-07-16,47,17.659574468085108,0.014893617021276595,0.8395348837209302,23.17142857142857,7,5,1,36.0,30.0
2016-07-17,48,28.479166666666668,0.025000000000000005,0.8577777777777779,14.390909090909092,7,6,1,47.0,36.0
2016-07-18,85,28.470588235294116,0.0,0.7725,18.74375,7,0,1,48.0,47.0
2016-07-19,88,22.761363636363637,0.0,0.8192771084337349,80.0909090909091,7,1,1,85.0,48.0
2016-07-20,86,24.151162790697676,0.0,0.8476190476190476,21.003125,7,2,1,88.0,85.0
2016-07-21,62,29.161290322580644,0.0,0.8508196721311475,23.35,7,3,1,86.0,88.0
2016-07-22,114,25.859649122807017,0.0043859649122807015,0.8008849557522124,17.43243243243243,7,4,1,62.0,86.0
2016-07-23,111,29.126126126126128,0.0,0.879245283018868,46.1,7,5,1,114.0,62.0
2016-07-24,259,29.328185328185327,0.12277992277992278,0.8596078431372549,38.146875,7,6,1,111.0,114.0
2016-07-25,189,28.417989417989418,0.0962962962962963,0.8961111111111112,37.53928571428571,7,0,1,259.0,111.0
2016-07-26,67,26.119402985074625,0.3328358208955224,0.8939393939393939,51.970000000000006,7,1,1,189.0,259.0
2016-07-27,246,34.6260162601626,0.7134146341463414,0.9183673469387755,66.39375,7,2,1,67.0,189.0
2016-07-28,493,28.496957403651116,0.024543610547667342,0.9451942740286299,103.3162162162162,7,3,1,246.0,67.0
2016-07-29,517,30.280464216634428,0.16827852998065765,0.9138132295719844,65.86511627906977,7,4,1,493.0,246.0
2016-07-30,467,24.00642398286938,0.0036402569593147758,0.9504484304932735,149.89600000000002,7,5,1,517.0,493.0
2016-07-31,692,28.557803468208093,0.03930635838150289,0.9396501457725948,56.178030303030305,7,6,1,467.0,517.0
2016-08-01,493,32.411764705882355,0.011561866125760649,0.9083844580777096,88.84109589041097,8,0,1,692.0,467.0
2016-08-02,809,30.595797280593324,0.05871446229913473,0.9362373737373737,78.89937499999999,8,1,1,493.0,692.0
2016-08-03,717,30.400278940027896,0.05871687587168759,0.961294964028777,39.06386554621849,8,2,1,809.0,493.0
2016-08-04,510,32.92156862745098,0.0,0.9674698795180723,84.74047619047619,8,3,1,717.0,809.0
2016-08-05,648,36.41203703703704,0.1425925925925926,0.9798425196850394,47.36601307189542,8,4,1,510.0,717.0
2016-08-06,461,33.70065075921909,0.0008676789587852495,0.9809633027522936,38.63333333333333,8,5,1,648.0,510.0
2016-08-07,281,32.07473309608541,0.40213523131672596,0.9681481481481481,27.29672131147541,8,6,1,461.0,648.0
2016-08-08,243,31.637860082304528,0.33909465020576135,0.9957627118644068,71.14444444444445,8,0,1,281.0,461.0
2016-08-09,272,26.102941176470587,4.3426470588235295,0.9600775193798449,19.522000000000002,8,1,1,243.0,281.0
2016-08-10,138,27.442028985507246,8.481884057971014,0.9446969696969697,60.11666666666666,8,2,1,272.0,243.0
2016-08-11,177,1.7118644067796611,0.3446327683615819,0.956140350877193,26.489743589743586,8,3,1,138.0,272.0
2016-08-12,157,2.3121019108280256,0.4585987261146497,0.9864516129032258,40.113157894736844,8,4,1,177.0,138.0
2016-08-13,194,2.350515463917526,0.0,0.9736842105263158,67.836,8,5,1,157.0,177.0
2016-08-14,541,4.051756007393715,0.2678373382624769,0.9711864406779662,30.045217391304345,8,6,1,194.0,157.0
2016-08-15,412,6.407766990291262,0.05655339805825243,0.9995049504950495,62.86875,8,0,1,541.0,194.0
2016-08-16,443,4.553047404063205,4.337923250564335,0.991421568627451,30.599999999999998,8,1,1,412.0,541.0
2016-08-17,599,4.282136894824708,4.045409015025041,0.9864527629233512,51.74814814814815,8,2,1,443.0,412.0
2016-08-18,489,3.7607361963190185,11.878323108384459,0.9560416666666666,40.920370370370364,8,3,1,599.0,443.0
2016-08-19,214,4.046728971962617,14.119626168224299,0.6358490566037737,49.804545454545455,8,4,1,489.0,599.0
